Instancia,Máxima Diversidad,Media Diversidad,Desviación
MDG-a_10_n500_m50.txt,6578.140000000007,6560.634999999999,18.963595782447577
MDG-a_1_n500_m50.txt,6610.849999999996,6556.2469999999985,29.2154993282679
MDG-a_2_n500_m50.txt,6652.700000000003,6576.446000000002,42.542625259850375
MDG-a_3_n500_m50.txt,6616.459999999991,6558.952,29.56112135897142
MDG-a_4_n500_m50.txt,6648.319999999994,6564.979000000001,45.37220612886222
MDG-a_5_n500_m50.txt,6624.6399999999985,6562.069000000001,37.3616558653385
MDG-a_6_n500_m50.txt,6620.640000000003,6564.200999999999,43.82130770527141
MDG-a_7_n500_m50.txt,6603.860000000006,6553.514,23.286179248646533
MDG-a_8_n500_m50.txt,6617.649999999998,6553.562,28.067805329236958
MDG-a_9_n500_m50.txt,6648.899999999993,6586.601,32.70044998161145
