Instancia,Máxima Diversidad,Media Diversidad,Desviación
MDG-a_10_n500_m50.txt,7519.829999999994,7471.542999999998,24.678545763475874
MDG-a_1_n500_m50.txt,7551.830000000006,7449.411999999999,54.895788144449334
MDG-a_2_n500_m50.txt,7538.500000000001,7471.136000000001,38.99551338295364
MDG-a_3_n500_m50.txt,7494.490000000005,7433.3110000000015,31.84876683641196
MDG-a_4_n500_m50.txt,7506.109999999998,7433.6579999999985,33.352011873348644
MDG-a_5_n500_m50.txt,7504.010000000001,7421.344,36.71546055818973
MDG-a_6_n500_m50.txt,7537.490000000005,7446.940000000002,44.595791281240324
MDG-a_7_n500_m50.txt,7487.000000000001,7446.465000000002,38.87253844296853
MDG-a_8_n500_m50.txt,7501.15,7433.834,52.75255883840978
MDG-a_9_n500_m50.txt,7564.389999999996,7474.287999999999,49.081595084105444
